names	abundances	samples	treatments
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D146	Late
M00967_43_000000000-A3JHG_1_2102_15692_18713	4	F3D148	Late
M00967_43_000000000-A3JHG_1_2102_15692_18713	3	F3D149	Late
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D150	Late
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D2	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	4	F3D6	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	1	F3D8	Early
M00967_43_000000000-A3JHG_1_2102_15692_18713	2	F3D9	Early
M00967_43_000000000-A3JHG_1_1105_8707_15634	1	F3D145	Late
M00967_43_000000000-A3JHG_1_1102_12472_26307	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1112_20972_19668	1	F3D149	Late
M00967_43_000000000-A3JHG_1_2104_22154_4269	1	F3D5	Early
M00967_43_000000000-A3JHG_1_2112_27658_13780	1	F3D3	Early
M00967_43_000000000-A3JHG_1_2113_16554_11081	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2102_11614_20083	1	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_22514_6355	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2108_12975_25037	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1106_11865_6449	1	F3D141	Late
M00967_43_000000000-A3JHG_1_1109_14359_12484	1	F3D0	Early
M00967_43_000000000-A3JHG_1_2105_13267_15722	1	F3D8	Early
M00967_43_000000000-A3JHG_1_1114_18788_21055	1	F3D144	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	1	F3D143	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	2	F3D144	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	4	F3D146	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	7	F3D147	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	20	F3D148	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	33	F3D149	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	7	F3D150	Late
M00967_43_000000000-A3JHG_1_2103_16331_20380	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1103_26580_14708	3	F3D150	Late
M00967_43_000000000-A3JHG_1_2109_15158_9571	1	F3D146	Late
M00967_43_000000000-A3JHG_1_1101_23774_12021	1	F3D5	Early
M00967_43_000000000-A3JHG_1_1104_15283_26901	1	F3D6	Early
M00967_43_000000000-A3JHG_1_1105_14971_7732	1	F3D143	Late
M00967_43_000000000-A3JHG_1_1109_26233_13220	1	F3D147	Late
